Group IID
African_NearEast_India_Dogs MauritianDog01
European_Dogs MiniatureBullTerrier01
European_Dogs MiniaturePinscher01_12874
NewGuinea NewGuineaSingingDog01_30192
NewGuinea NewGuineaSingingDog02
NewGuinea NewGuineaSingingDog03
NewGuinea NewGuineaSingingDog07_30192r
NewGuinea NewGuineaSingingDog08_34692
NewGuinea NewGuineaSingingDog09_35129
NewGuinea NewGuineaSingingDog10_35130
NewGuinea NewGuineaSingingDog11_35131
NewGuinea NewGuineaSingingDog12_35132
NewGuinea NewGuineaSingingDog13_34695
NewGuinea NewGuineaSingingDog14_34699
NewGuinea NewGuineaSingingDog15_35133
NewGuinea NewGuineaSingingDog16
NewGuinea NewGuineaSingingDog17
European_Dogs NorwichTerrier01
European_Dogs OldEnglishSheepdog01_5990
East_Asian_Dogs Pekingese01_23356
European_Dogs PembrokeWelshCorgi01
East_Asian_Dogs PhuquocRidgeback01_34142
European_Dogs Pomeranian01
East_Asian_Dogs Pug05
African_NearEast_India_Dogs RhodesianRidgeback01
European_Dogs Rottweiler01_21895
European_Dogs SaintBernard01_1075
African_NearEast_India_Dogs Saluki01_1233
Arctic_Dogs Samoyed01_176
European_Dogs ScottishDeerhound01
European_Dogs ScottishTerrier01_8542
European_Dogs ShetlandSheepdog01_11617
East_Asian_Dogs ShibaInu01
East_Asian_Dogs ShihTzu01
East_Asian_Dogs Shikoku01_31257
Arctic_Dogs SiberianHusky01_14529
African_NearEast_India_Dogs Sloughi01
European_Dogs StaffordshireBullTerrier01_27211
European_Dogs StandardPoodle01
European_Dogs SussexSpaniel01_6098
East_Asian_Dogs TibetanMastiff11
East_Asian_Dogs TibetanSpaniel01
East_Asian_Dogs TibetanTerrier01
East_Asian_Dogs TosaInu01_21914
European_Dogs ToyPoodle01_10442
African_NearEast_India_Dogs VillDog_India01
African_NearEast_India_Dogs VillDog_India03
African_NearEast_India_Dogs VillDog_India04
African_NearEast_India_Dogs VillDog_Namibia02
East_Asian_Dogs VillDog_PapuaNG03
African_NearEast_India_Dogs VillDog_Qatar01
East_Asian_Dogs VillDog_Taiwan01
European_Dogs Whippet01
Americas_Dogs Xoloitzcuintli01
European_Dogs YorkshireTerrier01
